rows,cols,format,to_arrow,to_pandas
10,100,csv,0.004771709442138672,0.006308078765869141
10,100,parquet,0.0028841495513916016,0.0013451576232910156
10,100,feather,0.002794027328491211,0.0011811256408691406
10,1000,csv,0.04279208183288574,0.007944107055664062
10,1000,parquet,0.02212810516357422,0.015204668045043945
10,1000,feather,0.01985001564025879,0.005989789962768555
10,10000,csv,1.2401573657989502,0.04654717445373535
10,10000,parquet,0.20813393592834473,0.05569791793823242
10,10000,feather,0.1854419708251953,0.054100990295410156
10,20000,csv,4.905336141586304,0.10605812072753906
10,20000,parquet,0.3845071792602539,0.10740232467651367
10,20000,feather,0.38506412506103516,0.09926700592041016
10,50000,csv,35.3939950466156,0.25036191940307617
10,50000,parquet,1.0542590618133545,0.25000905990600586
10,50000,feather,0.9091591835021973,0.24715590476989746
10,100000,csv,150.87479782104492,0.5314617156982422
10,100000,parquet,1.8098018169403076,0.5253307819366455
10,100000,feather,1.801123857498169,0.5689830780029297
