rows,cols,format,from,saving_time,loading_time,file_size
10,100,csv,pandas,0.7933058738708496,0.004316091537475586,0.00406646728515625
10,100,csv,pyarrow,0.0043561458587646484,0.016582727432250977,0.0042572021484375
10,100,json,pandas,0.0012290477752685547,0.0076901912689208984,0.008263587951660156
10,100,xml,pandas,0.00439906120300293,0.003120899200439453,0.01805877685546875
10,100,pickle,pandas,0.0010280609130859375,0.00030803680419921875,0.008844375610351562
10,100,parquet,pandas,0.006595134735107422,0.003951072692871094,0.06397533416748047
10,100,parquet,pyarrow,0.0026712417602539062,0.0029082298278808594,0.06621551513671875
10,100,hdf,pandas,0.00478816032409668,0.0031948089599609375,0.01453399658203125
10,100,feather,pandas,0.0040018558502197266,0.0022170543670654297,0.04202461242675781
10,100,feather,pyarrow,0.001561880111694336,0.00109100341796875,0.04202461242675781
10,1000,csv,pandas,0.0030257701873779297,0.008063316345214844,0.04177093505859375
10,1000,csv,pyarrow,0.0023369789123535156,0.005656719207763672,0.04367828369140625
10,1000,json,pandas,0.001294851303100586,0.06582403182983398,0.08373355865478516
10,1000,xml,pandas,0.06391096115112305,0.022231101989746094,0.1974020004272461
10,1000,pickle,pandas,0.0007617473602294922,0.00021791458129882812,0.08353233337402344
10,1000,parquet,pandas,0.049720048904418945,0.02911067008972168,0.6440591812133789
10,1000,parquet,pyarrow,0.02323317527770996,0.020666122436523438,0.6661500930786133
10,1000,hdf,pandas,0.0045969486236572266,0.003876209259033203,0.09085845947265625
10,1000,feather,pandas,0.025484085083007812,0.012583017349243164,0.42164039611816406
10,1000,feather,pyarrow,0.008762836456298828,0.005542278289794922,0.42164039611816406
10,10000,csv,pandas,0.0198361873626709,0.06721305847167969,0.42701053619384766
10,10000,csv,pyarrow,0.026376008987426758,0.05714273452758789,0.44608402252197266
10,10000,json,pandas,0.0068399906158447266,1.4418511390686035,0.8466281890869141
10,10000,xml,pandas,3.249802827835083,0.20580625534057617,2.1619443893432617
10,10000,pickle,pandas,0.0014829635620117188,0.0011436939239501953,0.8388690948486328
10,10000,parquet,pandas,0.409466028213501,0.25641608238220215,6.54351806640625
10,10000,parquet,pyarrow,0.22243523597717285,0.25131702423095703,6.766515731811523
10,10000,hdf,pandas,0.008833169937133789,0.009360074996948242,0.8824081420898438
10,10000,feather,pandas,0.23777318000793457,0.10125517845153809,4.250078201293945
10,10000,feather,pyarrow,0.06863784790039062,0.039569854736328125,4.250078201293945
10,20000,csv,pandas,0.058114051818847656,0.1677391529083252,0.8646469116210938
10,20000,csv,pyarrow,0.042482852935791016,0.11319518089294434,0.9027938842773438
10,20000,json,pandas,0.013976097106933594,5.197521924972534,1.7038812637329102
10,20000,xml,pandas,15.751303911209106,0.704801082611084,4.535539627075195
10,20000,pickle,pandas,0.0030410289764404297,0.001277923583984375,1.687666893005371
10,20000,parquet,pandas,0.8236207962036133,0.5154602527618408,13.191296577453613
10,20000,parquet,pyarrow,0.44229602813720703,0.4361989498138428,13.635431289672852
10,20000,hdf,pandas,0.014733076095581055,0.016866683959960938,1.7597885131835938
10,20000,feather,pandas,0.5611579418182373,0.19694113731384277,8.541757583618164
10,20000,feather,pyarrow,0.13733124732971191,0.08480691909790039,8.541757583618164
10,50000,csv,pandas,0.2634308338165283,0.34735989570617676,2.1780872344970703
10,50000,csv,pyarrow,0.10785722732543945,0.42304301261901855,2.2734546661376953
10,50000,json,pandas,0.034847259521484375,32.328426122665405,4.276171684265137
10,50000,xml,pandas,131.85021495819092,1.6679408550262451,11.656856536865234
10,50000,pickle,pandas,0.003979921340942383,0.002866029739379883,4.234068870544434
10,50000,parquet,pandas,1.9803650379180908,1.2195210456848145,33.13708305358887
10,50000,parquet,pyarrow,1.0416030883789062,1.051095724105835,34.24430847167969
10,50000,hdf,pandas,0.02920222282409668,0.03702688217163086,4.391929626464844
10,50000,feather,pandas,1.1375348567962646,0.49933481216430664,21.418855667114258
10,50000,feather,pyarrow,0.36864733695983887,0.18842601776123047,21.418855667114258
10,100000,csv,pandas,0.8965368270874023,0.9520492553710938,4.366615295410156
10,100000,csv,pyarrow,0.2044532299041748,1.1774652004241943,4.557350158691406
10,100000,json,pandas,0.06596994400024414,150.0344820022583,8.562783241271973
10,100000,xml,pandas,681.5503840446472,3.4212307929992676,23.52519702911377
10,100000,pickle,pandas,0.009034872055053711,0.005561113357543945,8.478081703186035
10,100000,parquet,pandas,4.323429107666016,2.4946889877319336,66.37814044952393
10,100000,parquet,pyarrow,2.1058108806610107,1.888476848602295,68.59110736846924
10,100000,hdf,pandas,0.0484616756439209,0.06691193580627441,8.969566345214844
10,100000,feather,pandas,2.5536391735076904,1.0639641284942627,42.88137245178223
10,100000,feather,pyarrow,0.705071210861206,0.4107637405395508,42.88137245178223
